"";"mes";"codOrgao";"Caixa";"Obrigacoes";"Saldo"
"110";"2017 10";"41903";123673,42;2814839,09;-2691165,67
"111";"2017 11";"20301";9829578,74;4123047,33;5706531,41
"112";"2017 11";"20302";21736392,42;25536929,31;-3800536,89000001
"113";"2017 11";"20303";15447411,07;21426070,08;-5978659,00999999
"114";"2017 11";"20402";6339544,11;2,68187250185292e-10;6339544,11
"115";"2017 11";"20501";244158368,39;518501586,559139;-274343218,169139
"116";"2017 11";"24000";189608438,74;61154837,33;128453601,41
"117";"2017 11";"24209";1646472,62;1662977,9;-16505,28
"118";"2017 11";"24901";148158468,59;274576122,17;-126417653,58
"119";"2017 11";"41231";4694749589,97;118739,350000008;4694630850,62
"120";"2017 11";"41232";4747196,77;0;4747196,77
"121";"2017 11";"41903";6029643,02;8540809,09;-2511166,07
"122";"2017 12";"20301";6975497,12;4245183,18000001;2730313,94
"123";"2017 12";"20302";26531359,2;33770833,93;-7239474,73
"124";"2017 12";"20303";10383103,59;1231272,49999999;9151831,09000001
"125";"2017 12";"20402";6860953;2,68187250185292e-10;6860953
"126";"2017 12";"20501";229706255,18;415927720,439459;-186221465,259459
"127";"2017 12";"24000";135997347,47;57186674,47;78810672,9999999
"128";"2017 12";"24209";2007074,03;324842,2;1682231,83
"129";"2017 12";"24901";140240389,97;130471834,72;9768555,2499999
"130";"2017 12";"41231";4693957497,5;310146,420000008;4693647351,08
"131";"2017 12";"41232";4747196,77;0;4747196,77
"132";"2017 12";"41903";123673,02;2814839,09;-2691166,07
"133";"2018 1";"20301";8459481,83;5276894,37000001;3182587,46
"134";"2018 1";"20302";23112363,68;39519578,77;-16407215,09
"135";"2018 1";"20303";9699207,84000001;9507695,70999999;191512,130000021
"136";"2018 1";"20402";4030390,23;2,68187250185292e-10;4030390,23
"137";"2018 1";"20501";220854422,06;422097164,273555;-201242742,213555
"138";"2018 1";"24000";91159180,1999999;55745165,1;35414015,0999999
"139";"2018 1";"24209";2430650,01;1268739,01;1161911
"140";"2018 1";"24901";210154308,53;195795357,35;14358951,1799999
"141";"2018 1";"41231";4693288776,98;1299021,24000001;4691989755,74
"142";"2018 1";"41232";4747196,77;0;4747196,77
"143";"2018 1";"41903";123673,02;2814839,09;-2691166,07
"144";"2018 2";"20301";18935479,8;11813487,38;7121992,41999999
"145";"2018 2";"20302";23918316,26;37113740,18;-13195423,92
"146";"2018 2";"20303";7137028,97000001;7410735,67999999;-273706,709999979
"147";"2018 2";"20402";1757010,34;2,68187250185292e-10;1757010,34
"148";"2018 2";"20501";218756638,27;417469778,686939;-198713140,416939
"149";"2018 2";"24000";267535225,71;56247701,67;211287524,04
"150";"2018 2";"24209";3110720,64;1263139,16;1847581,48
"151";"2018 2";"24901";154458647,46;242090318,19;-87631670,7300001
"152";"2018 2";"41231";4694442991,86;519854,590000007;4693923137,27
"153";"2018 2";"41232";4747196,77;0;4747196,77
"154";"2018 2";"41903";3117,60000000019;1399660,86;-1396543,26
"155";"2018 3";"20301";7853162,58;2606031,04;5247131,54
"156";"2018 3";"20302";24827374,3;38551859,25;-13724484,95
"157";"2018 3";"20303";37219569,1;33419141,97;3800427,13000003
"158";"2018 3";"20402";1212805,98;530,300000000275;1212275,68
"159";"2018 3";"20501";343617849,58;381310816,006939;-37692966,426939
"160";"2018 3";"24000";166187173,78;56152416,53;110034757,25
"161";"2018 3";"24209";2809985,93;1264015,34;1545970,59
"162";"2018 3";"24901";237627571,89;198597134,13;39030437,7599999
"163";"2018 3";"41231";4695750073,81;146859,650000009;4695603214,16
"164";"2018 3";"41232";4747196,77;0;4747196,77
"165";"2018 3";"41903";3117,60000000019;1399660,86;-1396543,26
"166";"2018 4";"20301";10425420,18;6073270,84000001;4352149,34
"167";"2018 4";"20302";8672052,47;38460841,29;-29788788,82
"168";"2018 4";"20303";8342416,53000001;8409038,67999999;-66622,1499999743
"169";"2018 4";"20402";6104717,63;2,76145328825805e-10;6104717,63
"170";"2018 4";"20501";264702176,9;463596824,858138;-198894647,958138
"171";"2018 4";"24000";161698308,53;55965244,65;105733063,88
"172";"2018 4";"24209";3593652,58;955796,35;2637856,23
"173";"2018 4";"24901";316747061,94;217595119,1;99151942,8399999
"174";"2018 4";"41231";4692986477,9;106990,920000009;4692879486,98
"175";"2018 4";"41232";4747196,77;0;4747196,77
"176";"2018 4";"41903";3117,60000000019;1399660,86;-1396543,26
"177";"2018 5";"20301";11325694,57;6990866,79;4334827,78
"178";"2018 5";"20302";13307355,4;37919234,49;-24611879,09
"179";"2018 5";"20303";10170064,2;7690192,31999999;2479871,88000003
"180";"2018 5";"20402";2412622,57;35160,3400000001;2377462,23
"181";"2018 5";"20501";260756157,34;433908621,950288;-173152464,610288
"182";"2018 5";"24000";147196844,21;56059938,95;91136905,2599999
"183";"2018 5";"24209";4332089,09;749540,71;3582548,38
"184";"2018 5";"24901";325453661,97;199519403,14;125934258,83
"185";"2018 5";"41231";4692167441,01;81353,8700000106;4692086087,14
"186";"2018 5";"41232";4747196,77;0;4747196,77
"187";"2018 5";"41903";3117,60000000019;1399660,86;-1396543,26
"188";"2018 6";"20301";11093565,96;7201895,84000001;3891670,12
"189";"2018 6";"20302";27893020,56;37045644,75;-9152624,19000001
"190";"2018 6";"20303";8585638,88000002;7948935,98999998;636702,890000034
"191";"2018 6";"20402";2987368,32;160,000000000027;2987208,32
"192";"2018 6";"20501";262393516,08;480306918,480136;-217913402,400136
"193";"2018 6";"24000";100680340,91;55466902,7000001;45213438,2099999
"194";"2018 6";"24209";3938011,52;1230992,88;2707018,64
"195";"2018 6";"24901";323851838,26;190266410,9;133585427,36
"196";"2018 6";"41231";4695982369,21;125818,72000001;4695856550,49
"197";"2018 6";"41232";4747196,77;0;4747196,77
"198";"2018 6";"41903";412117,6;1808660,86;-1396543,26
"199";"2018 7";"20301";13064802,24;9189504,92000001;3875297,32
"200";"2018 7";"20302";26994852,73;38806749,68;-11811896,95
"201";"2018 7";"20303";12263099,76;7105750,19999998;5157349,56000003
